task1.time,task1.EpoRJAK2,task1.EpoRpJAK2,task1.p1EpoRpJAK2,task1.p2EpoRpJAK2,task1.p12EpoRpJAK2,task1.SHP1,task1.SHP1Act,task1.STAT5,task1.pSTAT5,task1.npSTAT5,task1.CISRNA,task1.CIS,task1.SOCS3RNA,task1.SOCS3
127.5,3.7613472497652434,0.12127953698114828,0.01482002254227457,0.05884147216532635,0.01993171857213003,26.56285946442006,0.16224053557994314,67.74088142795257,8.528509687983872,5.067794740773912,0.0685683402000197,25.02108635769226,0.057584049945033744,9.999644750198739
127.75,3.7613504490182557,0.12127879707707137,0.014819770684916446,0.058840183481047935,0.01993079976483061,26.562831764463397,0.16226823553660305,67.76101783696133,8.515919779182202,5.056818013199958,0.06832044722049886,25.030748558645985,0.05755912728392926,9.995316867423828
128.0,3.7613533143041904,0.12127815630779043,0.014819546513978162,0.058839025614687325,0.019929957285476006,26.56280412641858,0.1622958735814194,67.78099430348156,8.503434032385545,5.0459224208747635,0.06807388423025189,25.040166045926487,0.05753403150838884,9.990958922669689
128.25,3.76135584916864,0.12127761361805284,0.014819349735464366,0.058837997178331124,0.01992919032563408,26.562776549602763,0.16232345039723686,67.80081184331752,8.491051769525294,5.0351074725464535,0.0678286487587758,25.049340533327204,0.0575087645996329,9.986571259982144
128.5,3.7613580571278105,0.12127716796077287,0.014819180057759077,0.05883709679559939,0.01992849808418058,26.562749033340108,0.16235096665989246,67.82047146650217,8.478772316514439,5.024372679566401,0.06758473827222812,25.05827372766274,0.05748332852517282,9.982154221026395
128.75,3.7613599416688723,0.12127681829695204,0.014819037191597786,0.058836323101502004,0.019927879767198148,26.562721576961696,0.1623784230383024,67.83997417732742,8.466595003218979,5.013717555886705,0.0673421501764581,25.06696732863407,0.05745772523889207,9.977708145101122
129.0,3.7613615062503127,0.12127656359559941,0.01481892085003955,0.05883567474229499,0.019927334587875392,26.56269417980545,0.16240582019454908,67.85932097437451,8.454519163429328,5.003141618057688,0.06710088182003783,25.07542302869367,0.05743195668112749,9.973233369152574
129.25,3.7613627543022887,0.12127640283365189,0.014818830748439088,0.0588351503753369,0.01992686176640585,26.562666841216032,0.16243315878396794,67.87851285054433,8.442544134831735,4.9926443852253675,0.06686093049729343,25.083642512910707,0.057406024778750446,9.968730227788685
129.5,3.7613636892269766,0.12127633499589449,0.014818766604418882,0.0588347486689452,0.01992646052988709,26.562639560544767,0.16246043945523428,67.89755079308765,8.43066925897969,4.982225379128957,0.06662229345133629,25.09162745883619,0.05737993144524809,9.964199053293163
129.75,3.761364314398928,0.12127635907488066,0.014818728137841266,0.058834468302252606,0.019926130112219692,26.56261233714955,0.1624876628504504,67.91643578363555,8.41889388126534,4.9718841240983425,0.06638496787709416,25.09937953636814,0.05735367858080447,9.9596401756396
130.0,3.761364633165419,0.12127647407085257,0.014818715070780534,0.05883430796506344,0.019925869754006294,26.562585170394765,0.16251482960523236,67.93516879822965,8.407217350890893,4.961620147051572,0.06614895092434243,25.106900407616745,0.057327268072381844,9.955053922505567
130.25,3.7613646488468055,0.12127667899166143,0.014818727127495025,0.058834266357710024,0.019925678702450614,26.562558059651206,0.162541940348797,67.95375080735248,8.395639020840038,4.951432977492342,0.0659142397007352,25.114191726769548,0.05730070179380179,9.950440619286722
130.5,3.76136436473687,0.12127697285268775,0.014818764034399226,0.058834342190909,0.019925556211256502,26.562531004295952,0.1625689957040486,67.97218277595775,8.384158247849356,4.941322147507483,0.06568083127483655,25.121255139956585,0.05727398160582648,9.945800589110906
130.75,3.7613637841031804,0.12127735467676166,0.014818825520035873,0.05883453418561774,0.01992550154052694,26.562504003712334,0.16259599628766616,67.99046566350071,8.372774392379723,4.931287191764444,0.06544872267915164,25.128092285115557,0.057247109356239834,9.941134152852241
131.0,3.761362910318602,0.12127782358470987,0.014818911326690004,0.058834841045720836,0.019925513750399762,26.56247705742917,0.1626229425708313,68.00860041963162,8.36148684787673,4.921327611214775,0.06521790405559771,25.13470528668411,0.05722008685783849,9.936441625309271
131.25,3.7613617465290106,0.12127837856544117,0.014819021180836313,0.05883526152679086,0.01992559222404322,26.562450164767263,0.1626498352327376,68.0265879952245,8.35029496646338,4.911442965135454,0.06498837604973172,25.14109550055288,0.057192915944535266,9.931723324947313
131.5,3.7613602959145735,0.12127901865615272,0.014819154816270918,0.05883579438189504,0.01992573625722996,26.56242332511655,0.16267667488344784,68.04442933378016,8.339198117176876,4.901632798925761,0.06476013617185708,25.14726449830319,0.05716559842749565,9.926979566281572
131.75,3.7613585616482497,0.12127974291333367,0.014819311970368804,0.05883643837012084,0.019925945124049403,26.562396537891555,0.1627034621084462,68.06212537284023,8.328195676594659,4.8918966556852395,0.06453318098812594,25.153213909185627,0.057138136102267374,9.922210661115182
132.0,3.7613565468790333,0.12128055040086429,0.014819492382537356,0.05883719225997631,0.019926218103711417,26.5623698025131,0.1627301974869032,68.07967704458318,8.317287024985413,4.882234080945322,0.0643075070180605,25.158945355440665,0.05711053075174314,9.917416919053691
132.25,3.7613542547323213,0.12128144018994699,0.014819695794189847,0.05883805482924323,0.01992655448042094,26.562343118408254,0.1627568815917461,68.09708527585407,8.306471546283948,4.872644622662517,0.06408311073677138,25.164460452222485,0.05708278414623911,9.912598647518685
132.5,3.761351688310283,0.1212824113590374,0.014819921948718897,0.05883902486483025,0.019926953543252544,26.562316485010275,0.1627835149897292,68.11435098819445,8.295748628066079,4.863127831211592,0.06385998857717613,25.1697608075228,0.05705489804357354,9.907756151761452
132.75,3.761348850692226,0.12128346299377535,0.014820170591469967,0.058840101162626036,0.019927414586025014,26.562289901758497,0.16281009824150444,68.1314750978721,8.28511766152351,4.8536832593787596,0.06363813693221756,25.174848022094636,0.05702687418914537,9.902889734876617
133.0,3.7613457449349634,0.1212845941869159,0.01482044146971482,0.05884128252735239,0.01992793690717595,26.56226336809831,0.16283663190169143,68.14845851591082,8.274578041438716,4.844310462354858,0.06341755215708215,25.179723689376168,0.05699871431601278,9.897999697815795
133.25,3.761342374073183,0.12128580403826049,0.014820734332625006,0.05884256777241742,0.019928519809636325,26.562236883481052,0.16286311651894828,68.16530214812029,8.264129166159831,4.835008997728541,0.06319823057141859,25.184389395414527,0.05697042014497179,9.893086339401233
133.5,3.7613387411198156,0.12128709165458783,0.014821048931245343,0.05884395571976868,0.019929162600705094,26.562210447363963,0.16288955263604166,68.18200689512584,8.253770437575525,4.825778425479461,0.06298016846155605,25.188846718789613,0.05694199338463488,9.88814995633946
133.75,3.7613348490664,0.12128845614958507,0.014821385018467378,0.05884544519974629,0.019929864591923755,26.562184059210082,0.16291594078991745,68.19857365239824,8.243501261089893,4.816618307971452,0.06276336208272267,25.193097230537894,0.05691343573150952,9.883190843234939
134.0,3.761330700883454,0.12128989664377875,0.014821742349002881,0.05884703505093611,0.01993062509895094,26.56215771848823,0.16294228151177093,68.21500331028349,8.23332104559733,4.807528209945714,0.06254780766126397,25.197142494076232,0.056884748870076766,9.878209292603698
134.25,3.7613262995208396,0.1212914122644659,0.01482212067935731,0.05884872412002283,0.019931443441437012,26.56213142467288,0.16296857532711725,68.2312967540327,8.223229203457425,4.798507698514001,0.062333501396861314,25.200984065125695,0.056855934472869886,9.873205594886993
134.5,3.7613216470934723,0.12129300217506787,0.014822519805661176,0.05885051156371371,0.01993231938820697,26.562105177283684,0.16299482271632154,68.24745485988036,8.213225158907806,4.789556336625926,0.06212043730582139,25.204623622020737,0.056826994184024204,9.8681800355947
134.75,3.7613167460573727,0.12129466553259961,0.014822939509008645,0.05885239641265637,0.01993325251448505,26.56207897582827,0.16302102417173214,68.26347850077678,8.203308335861703,4.780673692480013,0.06190861033896869,25.20806277746639,0.0567979296432092,9.863132899461172
135.0,3.7613116000030336,0.12129640145895998,0.014823379518579434,0.05885437727725101,0.01993424176829803,26.562052819763764,0.1630471802362405,68.2793685502642,8.193478149669161,4.771859345869291,0.0616980184854045,25.211302951542606,0.0567687425017965,9.85806447325286
135.25,3.7613062117230056,0.12129820911066876,0.014823839601430536,0.05885645306416903,0.019935286526848547,26.56202670859046,0.1630732914095416,68.29512587313181,8.1837340271111,4.763112872691759,0.06148865765264416,25.214345680968695,0.05673943438372386,9.852975038972245
135.5,3.7613005839852076,0.12130008765088132,0.014824319526550155,0.05885862268960177,0.01993638617388135,26.562000641814283,0.16309935818571994,68.3107513291947,8.174075398368243,4.754433851135336,0.06128052371722597,25.217192495317608,0.05671000690125622,9.847864876594782
135.75,3.7612947195331135,0.12130203624932644,0.01482481906483982,0.05886088507918271,0.01993754009965952,26.561974618946692,0.16312538105331137,68.32624577332275,8.16450169699794,4.74582186166954,0.06107361252643673,25.21984491696947,0.05668046165506051,9.842734264081896
136.0,3.761288621085931,0.121304054082244,0.0148253379890965,0.058863239167909455,0.019938747700940708,26.561948639504635,0.16315136049536405,68.34161005546946,8.15501235991097,4.737276487037187,0.060867919900037475,25.222304461065182,0.05665080023428046,9.837583477393967
136.25,3.7612822913387856,0.1213061403323227,0.014825876073994725,0.05886568390006589,0.019940008380953365,26.561922703010502,0.16317729698950012,68.35684502070096,8.145606827348347,4.728797312246096,0.06066344163198909,25.22457263545997,0.05662102421661141,9.832412790503321
136.5,3.761275732962898,0.12130829418863794,0.014826433096068703,0.058868218229144245,0.019941321549372955,26.561896808992024,0.16320319100797692,68.37195150922483,8.136284542858139,4.7203839245607675,0.06046017349217794,25.226650940676983,0.05659113516837514,9.827222475407225
136.75,3.761268948605773,0.12131051484658942,0.014827008833694439,0.05887084111776718,0.019942686622298183,26.561870956982254,0.1632290430177484,68.38693035641904,8.12704495327226,4.712035913494094,0.06025811122814149,25.228540869860847,0.056561134644594654,9.822012802140886
137.0,3.7612619408913743,0.12131280150783903,0.014827603067071848,0.05887355153760988,0.019944103022227214,26.561845146519477,0.16325485348052649,68.40178239286085,8.117887508683305,4.703752870799044,0.06005725056679399,25.230243908731225,0.056531024189069023,9.816784038790422
137.25,3.7612547124203104,0.12131515338024856,0.01482821557820688,0.058876348469322166,0.019945570178033924,26.56181937714716,0.16328062285284253,68.41650844435567,8.108811662421326,4.695534390460364,0.05985758721615207,25.231761535536425,0.05650080533444816,9.811536451505875
137.5,3.7612472657700167,0.1213175696778174,0.01482884615089363,0.058879230902450556,0.019947087524944094,26.561793648413893,0.16330635158610857,68.43110933196601,8.099816871030672,4.687380068686272,0.059659116867060435,25.23309522100695,0.056470479602307694,9.80627030451419
137.75,3.7612396034949334,0.12132004962062036,0.014829494570696461,0.058882197835360355,0.01994865450451165,26.561767959873322,0.1633320401266787,68.44558587204037,8.090902594246778,4.679289503900148,0.05946183519491743,25.234246428309064,0.056440048503223726,9.800985860132206
138.0,3.7612317282084127,0.12132259244470371,0.01483016062492266,0.05888524825403852,0.019950270494044582,26.561742311088228,0.16335768891177663,68.4599388749304,8.08206829634712,4.671262296641402,0.05926573764418048,25.235216623278166,0.05640951353384308,9.795683378257909
138.25,3.76122364338118,0.12132519749929996,0.014830844102512196,0.0588883809257138,0.01995193411741611,26.561716701670825,0.16338329832917486,68.47416913220677,8.073313459551207,4.663298048669833,0.059070817308193135,25.236007374789633,0.056378876147608094,9.790363111286675
138.5,3.7612153507787016,0.12132786393446625,0.014831544794316372,0.058891595061093094,0.019953645457545185,26.561691131153104,0.1634088688468993,68.48827745782341,8.064637540903442,4.6553963658060145,0.058877071743081065,25.236620032331476,0.05634813784905712,9.785025320486866
138.75,3.761206852910828,0.1213305909995087,0.01483226249279651,0.058894889681262975,0.019955403941726055,26.561665599110622,0.1634344008893814,68.50226464883043,8.056040013437853,4.647556855200298,0.05868449645860512,25.237056034080155,0.05631730010384119,9.779670260373933
139.0,3.761198152268763,0.12133337794991612,0.0148329969920944,0.05889826381485167,0.019957209000496967,26.56164010512387,0.16345989487612794,68.51613149765328,8.047520353321369,4.639779126172859,0.05849308694857815,25.237316810847815,0.05628636436685963,9.774298183596256
139.25,3.7611892513253533,0.12133622404731144,0.014833748088014386,0.05890171649792229,0.019959060067520355,26.561614648778228,0.16348535122177654,68.52987879211989,8.039078039832486,4.632062790205266,0.05830283869229496,25.23740378604986,0.05625533208233075,9.768909340947417
