Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
8.5	2.84568	0.171924	19.358	4.95554e-05	0.025346	0.58583	26.6768	1.52242e-05	0.000145969	204.368	7.82732	0.000651283	0.000365089	8.18415	1.17063	0.326086	0.000249737	3.59585e-29	0.000502161	44.4115	0.153103	0.000160772	54.7689	0.0466986	0.0482801	
8.75	2.86295	0.171259	19.3135	6.50525e-05	0.0307822	0.578346	26.675	1.92738e-05	0.000177276	222.888	9.23398	0.000690765	0.000401963	8.56263	1.43191	0.317815	0.000281178	-4.2132e-29	0.000541839	50.427	0.193822	0.00018537	54.5532	0.045848	0.0500616	
9	2.88132	0.170736	19.2874	8.45731e-05	0.0370163	0.569334	26.6733	2.41798e-05	0.000213178	241.9	10.8126	0.000729565	0.00043948	8.93197	1.73694	0.309762	0.000313971	-9.54972e-29	0.000581389	56.896	0.243149	0.000211736	54.3253	0.0450667	0.0518095	
9.25	2.90057	0.17034	19.2765	0.000108946	0.0441009	0.558988	26.6716	3.00749e-05	0.000253978	261.36	12.5731	0.000767636	0.000477442	9.29223	2.09048	0.301973	0.000347926	-6.69387e-29	0.000620676	63.8189	0.302419	0.000239749	54.0886	0.0443511	0.0535221	
9.5	2.92049	0.170055	19.2783	0.000139123	0.0520844	0.5475	26.6699	3.7104e-05	0.000299953	281.223	14.5253	0.00080494	0.00051567	9.64353	2.49742	0.294482	0.000382853	-1.38284e-28	0.000659585	71.1949	0.373089	0.000269273	53.8453	0.0436972	0.0551983	
9.75	2.94089	0.169865	19.291	0.000176192	0.0610106	0.535055	26.6683	4.54249e-05	0.000351358	301.447	16.6783	0.000841454	0.000554001	9.98595	2.96286	0.287313	0.000418567	-9.28573e-28	0.000698023	79.0212	0.456743	0.00030016	53.5971	0.0431005	0.0568371	
10	2.96159	0.169757	19.3135	0.000221389	0.0709181	0.521834	26.6667	5.52076e-05	0.000408414	321.994	19.041	0.00087716	0.000592291	10.3196	3.49201	0.280482	0.00045489	-2.05945e-27	0.000735914	87.2942	0.555092	0.000332252	53.3452	0.0425562	0.0584381	
10.25	2.98244	0.169717	19.3447	0.000276106	0.0818409	0.508003	26.6651	6.66351e-05	0.000471316	342.824	21.6217	0.000912049	0.000630415	10.6447	4.09021	0.273997	0.000491655	-1.96635e-27	0.000773194	96.0086	0.669973	0.000365389	53.0906	0.0420599	0.0600008	
10.5	3.0033	0.169733	19.3838	0.000341903	0.0938074	0.493719	26.6636	7.99027e-05	0.000540229	363.901	24.4282	0.000946117	0.000668262	10.9613	4.7629	0.26786	0.000528705	-1.40491e-27	0.000809815	105.158	0.80335	0.000399413	52.8338	0.0416067	0.0615254	
10.75	3.02404	0.169793	19.4302	0.000420522	0.106841	0.479128	26.6621	9.52183e-05	0.000615287	385.19	27.4679	0.000979363	0.000705738	11.2696	5.51558	0.262066	0.000565899	-2.37425e-27	0.00084574	114.736	0.957312	0.000434163	52.5755	0.0411922	0.0630119	
