time,EpoRJAK2_1,EpoRpJAK2_1,p1EpoRpJAK2_1,p2EpoRpJAK2_1,p12EpoRpJAK2_1,EpoRJAK2_CIS_1,SHP1_1,SHP1Act_1,STAT5_1,pSTAT5_1,npSTAT5_1,CISnRNA1_1,CISnRNA2_1,CISnRNA3_1,CISnRNA4_1,CISnRNA5_1,CISRNA_1,CIS_1,SOCS3nRNA1_1,SOCS3nRNA2_1,SOCS3nRNA3_1,SOCS3nRNA4_1,SOCS3nRNA5_1,SOCS3RNA_1,SOCS3_1,Epo_1
229.75,3.7551169466048067,0.12315970001304238,0.015338665291621275,0.06127730526829061,0.02132738284836039,-3.1564999035403005e-23,26.55363001305287,0.1714699869471141,69.58549520085894,7.4833962748390634,3.9048851265752593,337.4899913040906,337.21845259610376,337.5154260444822,338.54679539916646,340.5128602779127,0.03389223100855559,20.91820821661112,0.0003819426618883007,0.00038179571143657175,0.0003816541889710675,0.0003815183293947068,0.00038138837393955584,0.04493912733400522,7.803815915057637,1.24997e-07
230.0,3.755105229259016,0.1231631326060046,0.01533963385965957,0.06128190299327095,0.021330101308169803,-3.1074076645384997e-23,26.55361085178731,0.17148914821267533,69.58403224265464,7.484564215278857,3.9053142433236294,337.5156535912375,337.22856265220275,337.50504894045207,338.5099462004067,340.4423118833001,0.033885208642806565,20.905102027085274,0.0003819833341939618,0.0003818350077264544,0.0003816920485898472,0.0003815546900498361,0.00038142317167747886,0.04491560044440895,7.799730396261851,1.24997e-07
230.25,3.755093560895136,0.1231665505840798,0.01534059836473626,0.061286481571348195,0.021332808610820566,-3.059384996147484e-23,26.553591710353317,0.17150828964666973,69.58256458367137,7.485734515144534,3.9057467656765,337.54173002925324,337.2392329436831,337.49541010508545,338.4740511993857,340.3729784492805,0.03387830720926009,20.892017006315086,0.0003820243549866392,0.0003818746681657724,0.00038173028844596074,0.0003815914474632976,0.0003814583831344083,0.044892128771333015,7.795654465983183,1.24997e-07
230.5,3.7550819414735437,0.12316995396531122,0.015341558811303307,0.06129104102268466,0.02133550475327862,-3.012734503237602e-23,26.55357258879152,0.17152741120846476,69.58109229904187,7.486907126982084,3.906182653373871,337.5682163156314,337.250458197019,337.48650311126397,338.4391026007307,340.3048505618438,0.03387152577088994,20.878953219418975,0.0003820657202192235,0.0003819146885974617,0.0003817689042703967,0.0003816285972520249,0.00038149400381055925,0.044868712275578454,7.791588117414661,1.24997e-07
230.75,3.755070370954013,0.12317334276805109,0.015342515203905557,0.06129558136794106,0.02133818973221008,-2.9677832314923186e-23,26.55355348714237,0.17154651285761596,69.57961546334077,7.488082003702726,3.9066218664363586,337.59510817685606,337.26223317317744,337.47832157286723,338.4050926577372,340.2379188646252,0.03386486339640761,20.865910730552574,0.0003821074258726724,0.00038195506489314897,0.0003818078918235085,0.0003816661350630499,0.00038153002923700533,0.04484535091723139,7.787531343625173,1.24997e-07
231.0,3.7550588492957417,0.12317671701095628,0.015343467547179537,0.06130010262827232,0.02134086354397131,-2.9248832863556264e-23,26.553534405446122,0.17156559455386955,69.57813415058858,7.489259098580224,3.9070643651631958,337.6224013681988,337.2745526673778,337.47085914448957,338.37201367203903,340.1721740585225,0.03385831916022425,20.852889602917664,0.0003821494679558106,0.0003819957929529475,0.0003818472468948067,0.0003817040565732916,0.00038156645497546666,0.044822044655671904,7.783484137561,1.24997e-07
231.25,3.7550473764573624,0.12318007671298412,0.01534441584585226,0.06130460482532336,0.021343526184599025,-2.8844124519794647e-23,26.553515343742824,0.1715846562571647,69.57664843425574,7.490438365248206,3.9075101101302425,337.65009167351525,337.2874115088515,337.46410952115764,338.3398579932768,340.107606901314,0.03385189214241257,20.839889898770984,0.0003821918425051303,0.00038203686870525214,0.0003818869653027501,0.000381742357489346,0.0003816032766180973,0.04479879344958295,7.779446492047364,1.24997e-07
231.5,3.755035952396968,0.12318342189338809,0.015345360104740023,0.061309087981224974,0.021346177649800367,-2.8467748101711306e-23,26.553496302072354,0.17160369792763636,69.57515838726678,7.491619757697477,3.9079590621879876,337.67817490504194,337.300804560602,337.45806643804696,338.3086180187672,340.0442082072758,0.033845581428668864,20.82691167943317,0.00038223454558459146,0.00038207828810653515,0.0003819270428945378,0.00038178103354727513,0.00038164048978727355,0.04477559725695926,7.775418399789969,1.24997e-07
231.75,3.7550245767504147,0.12318675255569564,0.01534630032258252,0.061313552070874015,0.02134881832655478,-2.80342317943875e-23,26.5534772804829,0.17162271951709165,69.57366407940026,7.492803231983057,3.9084111837602635,337.70664703318795,337.3147268780516,337.45272385463,338.27828640164284,339.98196907495816,0.03383938613298437,20.8139549989523,0.0003822775734195006,0.00038212004727682103,0.00038196747566740004,0.0003818200806091227,0.00038167809021457186,0.0447524560282892,7.771399852191025,1.24997e-07
232.0,3.7550132496546293,0.1231900687286949,0.01534723650781748,0.061317997144036705,0.021351447990943247,-2.759835499627626e-23,26.553458279009156,0.1716417209908304,69.57216558395666,7.493988741846205,3.908866435513649,337.7355038536657,337.32917330219846,337.44807548242227,338.24885551703113,339.92088030293013,0.03383330533949209,20.80101992035078,0.0003823209220531947,0.00038216214215226914,0.0003820082594574649,0.0003818594944151747,0.0003817160735379031,0.044729369724034414,7.767390842384622,1.24997e-07
