task1.time,task1.npSTAT5,task2.npSTAT5,task3.npSTAT5
33.2,18.833618966305988,0.10066725651594008,7.4378413819568205
33.28,18.823393931654568,0.10097666338125985,7.447052488102052
33.36,18.813059590865798,0.1012850517897278,7.456200086497078
33.44,18.80261693085198,0.10159241818032132,7.465284388058872
33.52,18.79206693317066,0.10189875907538874,7.4743056083073895
33.6,18.781410572733144,0.10220407108024515,7.483263962619007
33.68,18.770648818680602,0.10250835088276813,7.492159666216976
33.76,18.759782634549076,0.10281159525299383,7.5009929341618795
33.84,18.748812978177085,0.1031138010427125,7.509763981342088
33.92,18.737740801767938,0.10341496518359085,7.518473022464203
34.0,18.726567051952042,0.103715084505309,7.527120272043514
34.08,18.715292669849223,0.10401415621301476,7.53570594439445
34.160000000000004,18.703918591131043,0.10431217746674631,7.5442302536210395
34.24,18.692445746083095,0.10460914550475475,7.552693417244957
34.32,18.680875059667326,0.1049050576430328,7.561095647416553
34.4,18.669207429183487,0.10519991127484382,7.56943715727967
34.480000000000004,18.657443612201504,0.10549370387025063,7.577718160313117
34.56,18.64558462662078,0.10578643297564436,7.585938869765778
34.64,18.633631364484632,0.10607809621327327,7.594099498648166
34.72,18.621584711698056,0.10636869128077175,7.60220025972399
34.800000000000004,18.609445548045713,0.10665821585217183,7.610241365501694
34.88,18.597214747209893,0.10694666777133716,7.618223028226026
34.96,18.584893176788466,0.10723404498861144,7.626145459869579
35.04,18.57248169831284,0.1075203454850703,7.634008872124357
35.12,18.55998116726592,0.10780556731348638,7.64181348059725
35.2,18.54739243310007,0.10808970859780115,7.64955949919374
35.28,18.534716339255095,0.1083727675325967,7.657247134895246
35.36,18.521953725809457,0.1086547423825675,7.664876598570427
35.44,18.509105425614834,0.10893563148199226,7.67244810077939
35.52,18.496172262371307,0.10921543323420563,7.679961851764713
35.6,18.48315505601938,0.10949414608035944,7.687418061442453
35.68,18.470054620610306,0.10977176849584874,7.694816939393161
35.76,18.456871764325335,0.11004829913512496,7.702158694852895
35.84,18.443607289495,0.11032373666330553,7.709443536704242
35.92,18.43026199261834,0.11059807981099311,7.716671673467323
36.0,18.416836664382217,0.11087132737370693,7.723843313290804
36.08,18.40333208968051,0.11114347821131432,7.7309586639429275
36.160000000000004,18.38974904763344,0.11141453124746191,7.738017932802507
36.24,18.376088311606786,0.11168448546900717,7.745021326849954
36.32,18.36235073425253,0.11195333992544963,7.751969052658285
36.4,18.34853703721132,0.11222109372836246,7.758861316384139
36.480000000000004,18.334647972849773,0.1124877460002376,7.765698328445844
36.56,18.320684298412623,0.11275329600286027,7.772480322816683
36.64,18.306646766080625,0.11301774302808691,7.779207480281132
36.72,18.292536123012557,0.11328108642551166,7.7858800063458675
36.800000000000004,18.278353111387226,0.11354332560350988,7.792498106121342
36.88,18.26409846844545,0.11380446002865041,7.799061984314126
36.96,18.24977292653206,0.11406448922510802,7.80557184521926
37.04,18.235377213137898,0.11432341277407586,7.8120278927126
37.12,18.22091205094179,0.11458123031317773,7.818430330243174
37.2,18.206378160701288,0.11483794153588057,7.824779360825511
37.28,18.19177626404714,0.11509354618754034,7.8310751870320106
37.36,18.177107063053768,0.11534804407096058,7.837318010985271
37.44,18.162371262408712,0.11560143504490304,7.843508034350453
37.52,18.14756956227399,0.11585371901983599,7.849645458327618
37.6,18.132702658331112,0.11610489595908319,7.855730483644079
37.68,18.117771241826045,0.11635496587823434,7.861763310546746
37.76,18.10277599961422,0.1166039288445554,7.867744138794481
37.84,18.087717614205545,0.11685178497639878,7.87367316765043
37.92,18.072596763809358,0.11709853444261364,7.879550639027704
38.0,18.057414122379473,0.11734417746195604,7.885376729094981
38.08,18.042170359659128,0.11758871430697382,7.8911516287350265
38.160000000000004,18.026866116207646,0.11783214530699099,7.896875536771103
38.24,18.011502051161216,0.11807447081821133,7.9025486515914904
38.32,17.996078832145603,0.11831569125470243,7.908171171144397
38.4,17.980597109657843,0.11855580707765123,7.913743292932866
38.480000000000004,17.965057529953235,0.11879481879478113,7.9192652140097
38.56,17.94946073508046,0.1190327269597694,7.924737130972372
38.64,17.933807362916653,0.11926953217166428,7.930159239957932
38.72,17.918098047202516,0.11950523507430247,7.935531736637932
