task1.time,task1.SOCS3,task2.SOCS3,task3.SOCS3,task1.pSTAT5,task2.pSTAT5,task3.pSTAT5,task1.CIS,task2.CIS,task3.CIS
8.52,0.02575280552704325,294.84414019235936,0.0042400426180580365,54.751086922053716,0.04726860274795049,9.875647226287105,5.066464186948797e-05,3.565538898836003e-08,579.5743955487119
8.64,0.028295213348220632,294.84414139836946,0.004592888555145678,54.64861643915939,0.04855436966467945,10.02651452739227,5.7782861515176306e-05,4.0050350201564014e-08,579.5686171573726
8.76,0.031015896088784852,294.8441426847432,0.004967465865677377,54.5429920581997,0.04985526590602023,10.175085096986809,6.575093640393039e-05,4.490921843583996e-08,579.5628447292396
8.879999999999999,0.0339209659097109,294.8441440551478,0.005364593002990336,54.43464933392957,0.05117110073312095,10.321336307604167,7.465145835125131e-05,5.02728551688123e-08,579.5570782704146
9.0,0.03701634000463062,294.8441455133328,0.00578509305614038,54.323962786920085,0.052501668080355106,10.465249801337563,8.457306079114995e-05,5.6184975210943575e-08,579.5513177878076
9.12,0.040307725812497766,294.84414706313146,0.006229793046589631,54.211248345029205,0.05384674583938036,10.606811530490756,9.56106978448402e-05,6.269229679921511e-08,579.5455632891516
9.24,0.043800607190881385,294.844148708459,0.006699522888381503,54.09677896190848,0.055206095178201624,10.746011381572128,0.00010786592290717845,6.984478705106277e-08,579.5398147830618
9.36,0.04750023659748215,294.84415045331036,0.00719511453776849,53.98079115557454,0.056579459036452236,10.882843150451308,0.00012144717396889562,7.769565618375519e-08,579.5340722790521
9.48,0.051411610820684385,294.84415230175813,0.007717401094531754,53.86349697711394,0.05796656362204488,11.017304217514004,0.00013647004012995887,8.630175019156159e-08,579.5283357875961
9.6,0.05553948451814324,294.8441542579554,0.008267215853955701,53.74505918607597,0.05936711492404476,11.149395467752525,0.0001530575697356179,9.572347443349208e-08,579.5226053201441
9.719999999999999,0.05988833497495683,294.84415632613207,0.0088453915267329,53.625623787080876,0.060780801663568654,11.279121013613837,0.0001713405253492465,1.0602516603938169e-07,579.5168808891864
9.84,0.0644623760771111,294.8441585105948,0.009452759216013457,53.50531883564255,0.062207293568891146,11.406488066127892,0.00019145768738662428,1.1727519468210426e-07,579.5111625082725
9.959999999999999,0.06926555794246905,294.8441608157263,0.010090147747512825,53.38425133655379,0.06364624084185856,11.531506712342217,0.00021355614561239668,1.2954610841720535e-07,579.5054501920722
10.08,0.07430153554013644,294.8441632459835,0.010758382623458296,53.262521464727016,0.06509727864070229,11.65418973700188,0.00023779155473647556,1.4291496473866687e-07,579.4997439564029
10.2,0.07957372006879647,294.84416580589766,0.011458285396548487,53.140208424694606,0.06656002056623266,11.774552450907008,0.0002643284598983646,1.5746331905008154e-07,579.4940438182837
10.32,0.08508521627251162,294.8441685000716,0.012190672699330945,53.017393630933014,0.06803407551078805,11.892612490478013,0.00029334054352252723,1.7327780657947605e-07,579.488349795972
10.44,0.09083888677848695,294.844171333181,0.012956355573936063,52.89413538738831,0.06951902526483128,12.008389663189622,0.0003250109174938717,1.9044981732331394e-07,579.4826619090114
10.559999999999999,0.09683729882478241,294.8441743099723,0.013756138660107636,52.77049714806587,0.07101443676792978,12.1219057633679,0.0003595324190320323,2.0907595046038707e-07,579.4769801782761
10.68,0.10308277343026725,294.844177435261,0.014590819428529522,52.64652495273389,0.07251987171980986,12.233184405997525,0.0003971078379931234,2.2925840687102517e-07,579.4713046260139
10.799999999999999,0.10957735253984255,294.84418071392963,0.015461187566924332,52.522265058610614,0.07403489764306974,12.342250882175787,0.00043795025496612427,2.5110541436807644e-07,579.4656352758964
10.92,0.11632283037509537,294.8441841509312,0.01636802410364597,52.397755947092385,0.07555903982135329,12.449131968803568,0.00048228324894858187,2.747303460373586e-07,579.4599721530595
11.04,0.12332074504709287,294.8441877512846,0.017312101000886544,52.27303185275632,0.07709182155810376,12.553855832303652,0.0005303412025084229,3.0025279081876694e-07,579.4543152841571
11.16,0.13057238776160815,294.84419152006825,0.018294180174485895,52.14812379200728,0.07863280057373659,12.656451812238151,0.0005823695543034631,3.277996216695143e-07,579.4486646974002
11.28,0.13807881695959423,294.8441954624278,0.019315013290922684,52.02305966184317,0.08018150578483679,12.756950374091453,0.0006386250390895487,3.5750366605217117e-07,579.4430204226126
11.4,0.14584085146670242,294.8441995835729,0.020375340696310786,51.89786523266415,0.08173745510952302,12.855382869661806,0.0006993759888009757,3.89504311375563e-07,579.4373824912702
11.52,0.15385909755565993,294.8442038887734,0.021475891404933153,51.77256303566215,0.08330017794134302,12.951781535234424,0.0007649025041878925,4.2394827394273466e-07,579.4317509365577
11.639999999999999,0.16213393671001194,294.8442083833572,0.022617382016650055,51.64717541932267,0.08486924181722313,13.046179248113,0.0008354968067323148,4.609907364389824e-07,579.4261257934083
11.76,0.17066555275535045,294.844213072714,0.023800517108856247,51.521720775666545,0.0864441816492126,13.138609616931678,0.0009114633375962288,5.007931309834062e-07,579.4205070985631
11.879999999999999,0.1794539250463014,294.8442179622904,0.02502598728797629,51.396217977278205,0.08802455534040392,13.229106541566777,0.0009931191536133315,5.435251792701327e-07,579.414894890604
12.0,0.1884988479077774,294.84422305758375,0.026294469389742243,51.27068300885549,0.08960993239150425,13.317704259502547,0.0010807939793230734,5.893652183685749e-07,579.4092892100101
12.12,0.19779993261079423,294.8442283641441,0.027606628422863905,51.145131343153025,0.0911998961875297,13.404437770470379,0.0011748305893873716,6.385001616652052e-07,579.4036900992243
12.24,0.20735661910512732,294.84423388758034,0.028963112193855483,51.019577177385855,0.09279404643028936,13.489341649897492,0.0012755849017816118,6.911250956370843e-07,579.3980976026629
12.36,0.21716818392968162,294.84423963354993,0.03036455386322478,50.89403372345885,0.0943920009949493,13.57245060949005,0.0013834262397156144,7.474443152155825e-07,579.3925117667885
12.48,0.2272337481353449,294.84424560775835,0.031811574578641484,50.76851347876216,0.09599336114637148,13.653800073968322,0.001498737545281418,8.076722416754544e-07,579.3869326401776
12.6,0.2375522866456998,294.8442518159611,0.03330477717072179,50.64302823856924,0.0975977793962734,13.733424791033881,0.0016219154973627708,8.72032109790115e-07,579.3813602735304
12.719999999999999,0.2481226360662921,294.84425826396,0.03484474847082025,50.51758928574019,0.09920491873774955,13.81135933884667,0.001753370826358745,9.407572564462919e-07,579.3757947197378
12.84,0.25894350232071217,294.8442649575996,0.036432061781027196,50.39220714254569,0.10081444899940424,13.887638624419838,0.0018935283160236096,1.0140914565223492e-06,579.3702360339367
12.959999999999999,0.2700134703320183,294.8442719027621,0.03806727339123385,50.266892158656056,0.10242603197535387,13.962297155818488,0.002042827180509474,1.092289506211002e-06,579.3646842735512
13.08,0.2813310052610821,294.84427910537875,0.039750921816907085,50.1416534907804,0.10403938312256149,14.035368876397868,0.0022017208614139865,1.1756163546733002e-06,579.3591394983385
13.2,0.2928944716448997,294.84428657141734,0.04148353064431604,50.0165006839492,0.1056542222847421,14.106887728146175,0.00237067773274114,1.2643483461329168e-06,579.3536017704376
13.32,0.3047021359008449,294.8442943068776,0.04326560732199452,49.891442994774046,0.10727026005872525,14.176887396600552,0.00255018101953217,1.3587739493157121e-06,579.3480711544166
13.44,0.3167521597956058,294.844302317797,0.04509764070297906,49.766488279016365,0.10888723233226574,14.245400812954545,0.0027407283841596195,1.4591932004625643e-06,579.3425477173306
13.559999999999999,0.32904262623399894,294.8443106102483,0.04698010374734265,49.64164461465253,0.1105048967152986,14.312460659472592,0.0029428328348390354,1.5659181013401543e-06,579.337031528752
13.68,0.34157154914023063,294.844319190334,0.04891345355499314,49.516920548645764,0.11212301660174478,14.378099343432785,0.003157022979966731,1.6792733591820725e-06,579.3315226608106
13.799999999999999,0.35433686084267596,294.844328064178,0.050898128317936955,49.392323818800236,0.11374134675429491,14.44234844881713,0.0033838423849950642,1.799597345343623e-06,579.3260211882764
13.92,0.3673364063754378,294.84433723793967,0.05293454979959374,49.267860895564354,0.11535967438924731,14.505239146366439,0.003623849228294523,1.927240769739264e-06,579.3205271885731
14.04,0.38056800456491113,294.84434671780065,0.05502312433585012,49.1435396814339,0.11697778861203594,14.566802329466947,0.003877618531387733,2.062568201754887e-06,579.3150407418034
14.16,0.3940294128368059,294.844356509962,0.05716423904270682,49.019367478521,0.11859548288582426,14.627067980238687,0.004145740666080255,2.205958470040641e-06,579.3095619308571
14.28,0.40771829596270365,294.8443666206434,0.05935826443613387,48.895349697790046,0.12021255572530809,14.686065574171494,0.004428820185090026,2.357804886612805e-06,579.304090841412
14.399999999999999,0.42163231846211224,294.84437705608696,0.06160555619138545,48.77149315133855,0.12182881732063308,14.743824328326237,0.004727478967748303,2.5185149771648217e-06,579.2986275619401
14.52,0.43576909522893015,294.84438782254875,0.06390645068685168,48.647803951370754,0.12344408108938928,14.800372490751075,0.005042354375002676,2.688511466392307e-06,579.2931721838426
14.639999999999999,0.45012618733898924,294.84439892629314,0.0662612679407938,48.524287898280214,0.12505816517044507,14.855737775673811,0.005374099051611298,2.868233122368178e-06,579.2877248014347
14.76,0.4647011212882855,294.8444103736001,0.0686703129528223,48.40095054551491,0.12667089160788506,14.909947536030947,0.005723381463652001,3.0581339440276636e-06,579.2822855119474
