task1.time,task1.pSTAT5,task1.CIS,task1.SOCS3,task1.SOCS3RNA,task1.CISRNA
26.5,37.6019848089147,0.28856411452543373,2.5595438905905263,0.014739536201481378,0.01772372073940734
26.75,37.401673519716354,0.3043672817124046,2.611560984128473,0.015039082582456986,0.018424092586787025
27.0,37.202562484172404,0.3207797343579911,2.663658222943326,0.015339090464790766,0.019138890182997022
27.25,37.004646223862544,0.3378132282784406,2.715825278904239,0.015639500373372788,0.019867963578392017
27.5,36.80791949191241,0.35547934636880346,2.768052069183157,0.015940254245685244,0.02061115072390308
27.75,36.612376770006435,0.3737894983896939,2.820328753415269,0.01624129541545125,0.02136827840762376
28.0,36.41801228550071,0.39275490902030236,2.8726457285834575,0.01654256858317649,0.022139162425788
28.25,36.22482051399034,0.41238660230104945,2.9249936237352845,0.01684401978572617,0.02292360755993682
28.5,36.03279556017327,0.4326954049100679,2.977363297593872,0.017145596382567733,0.02372140849861541
28.75,35.84193150132253,0.45369192151651555,3.029745830988738,0.01744724701218273,0.0245323494887972
29.0,35.65222245921406,0.47538653939392844,3.082132525652124,0.017748921585135632,0.025356205175688876
29.25,35.46366253348271,0.4977894147130814,3.1345148986369296,0.018050571251929045,0.02619274075977015
29.5,35.27624567638456,0.5209104607356416,3.186884677087962,0.01835214837289357,0.027041712219804618
29.75,35.0899660828957,0.544759352455553,3.239233797404225,0.01865360651336369,0.027902866978276347
30.0,34.90481783957487,0.5693455021358532,3.291554396897028,0.01895490039564048,0.02877594386786432
30.25,34.72079501954915,0.5946780685531596,3.343838813503308,0.019255985897340764,0.029660673808038912
30.5,34.537891752305754,0.620765940780263,3.39607957989387,0.019556820017468928,0.030556780002115678
30.75,34.35610149890655,0.6476177344154173,3.4482694200394386,0.019857360856642317,0.03146397831555418
31.0,34.17541530393352,0.675241798378499,3.5004012477270865,0.020157567608548164,0.032381977783956135
31.25,33.9958262972671,0.7036461772534552,3.5524681571009586,0.020457400505471273,0.03331048066596537
31.5,33.81732670646033,0.732838623155686,3.6044634220264684,0.02075682081463295,0.034249182978672216
31.75,33.63990754315387,0.7628266195825408,3.6563804978885206,0.021055790848546387,0.03519777506046741
32.0,33.463559452748726,0.7936173472780026,3.708213012557443,0.02135427391299315,0.036155941727677804
32.25,33.28827372934811,0.8252176445837089,3.7599547563285984,0.021652234249089415,0.03712336239151678
32.5,33.11404104336812,0.8576340440993072,3.8115996860665233,0.021949637057150657,0.038099711724282455
32.75,32.94087767690458,0.8908728499775029,3.8631419371121494,0.022246448565260597,0.03908466037058746
33.0,32.76878295880197,0.9249399692813955,3.9145757888820225,0.02254263583117105,0.04007787454455953
